variant,description,comparison,unit,n,bias,mae,rmse,corr,target_rmse,passes
baseline_cumulative_klt_raw_alpha,cumulative sequential KLT + raw Python TimTrack alpha,baseline_cumulative_klt_raw_alpha_FL_mm,mm,2666,8.953910120905634,8.95632915936263,11.208491029219624,0.700988190334316,2.0,False
baseline_cumulative_klt_raw_alpha,cumulative sequential KLT + raw Python TimTrack alpha,baseline_cumulative_klt_raw_alpha_PEN_deg,deg,2666,-4.326502095296321,4.32721512593515,5.429017109199198,0.6539101522109367,1.0,False
baseline_cumulative_klt_raw_alpha,cumulative sequential KLT + raw Python TimTrack alpha,baseline_cumulative_klt_raw_alpha_ANG_deg,deg,2666,-4.326502095296321,4.32721512593515,5.429017109199199,0.7008723301276961,1.0,False
alpha_fixed_only,cumulative sequential KLT + corrected saved alpha,alpha_fixed_only_FL_mm,mm,2666,-0.4821974430402915,5.708952781726165,6.868819502554928,0.6859796429984214,2.0,False
alpha_fixed_only,cumulative sequential KLT + corrected saved alpha,alpha_fixed_only_PEN_deg,deg,2666,-0.157309451601816,2.7955113536325897,3.292757937521781,0.6573821417766933,1.0,False
alpha_fixed_only,cumulative sequential KLT + corrected saved alpha,alpha_fixed_only_ANG_deg,deg,2666,-0.15730945160181592,2.7955113536325897,3.2927579375217806,0.698167014897544,1.0,False
klt_fixed_only,one-step KLT handoff + raw Python TimTrack alpha,klt_fixed_only_FL_mm,mm,2666,9.708436003917907,9.708591804133043,10.327051272212927,0.9737539156363108,2.0,False
klt_fixed_only,one-step KLT handoff + raw Python TimTrack alpha,klt_fixed_only_PEN_deg,deg,2666,-4.186626720975837,4.186672863112555,4.29996127661407,0.9770121660282821,1.0,False
klt_fixed_only,one-step KLT handoff + raw Python TimTrack alpha,klt_fixed_only_ANG_deg,deg,2666,-4.186626720975836,4.186672863112555,4.29996127661407,0.9794226604118775,1.0,False
alpha_and_klt_fixed,one-step KLT handoff + corrected saved alpha,alpha_and_klt_fixed_FL_mm,mm,2666,-0.0247594316835721,0.5665559905713522,0.7529551324064312,0.9968267355576402,2.0,True
alpha_and_klt_fixed,one-step KLT handoff + corrected saved alpha,alpha_and_klt_fixed_PEN_deg,deg,2666,0.025406118192871564,0.29738097845969197,0.409723832187515,0.9956665881732228,1.0,True
alpha_and_klt_fixed,one-step KLT handoff + corrected saved alpha,alpha_and_klt_fixed_ANG_deg,deg,2666,0.02540611819287168,0.2973809784596917,0.40972383218751485,0.9961276611124342,1.0,True
